seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Ecuador,20,Enner Valencia,ecu_03_enner-valencia.png,
Ecuador,21,Jordy Caicedo,,
Ecuador,22,Jeremy Arévalo,,
Ecuador,23,Anthony Valencia,,
Ecuador,24,Kevin Rodríguez,ecu_04_kevin-rodriguez.png,
Egipto,1,Mohamed El Shenawy,,
Egipto,2,Mostafa Shobeir,,
Egipto,3,Al-Mahdy Soliman,,
Egipto,4,Mohamed Alaa,,
Egipto,5,Mohamed Hany,,
Egipto,6,Tarek El Ala,,
Egipto,7,Hamdi Fathy,,
Egipto,8,Ramy Rabia,,
Egipto,9,Yasser Ibrahim,,
Egipto,10,Hossam Abdel-Maguid,,
Egipto,11,Mohamed Abdelmonem,,
Egipto,12,Ahmed Fotouh,,
Egipto,13,Karim Hafez,,
Egipto,14,Marwan Attia,,
Egipto,15,Mohand Lashin,,
Egipto,16,Nabil Emad Dunga,,
Egipto,17,Mahmoud Saber,,
Egipto,18,Ahmed Sayed Zizo,,
Egipto,19,Imam Ashour,,
Egipto,20,Mostafa Abdel-Raouf Ziko,,
Egipto,21,Mahmoud Trezeguet,,
Egipto,22,Ibrahim Ade (Pyramids FC)l,,
Egipto,23,Haithem Hassan,,
Egipto,24,Mohamed Salah,,
Egipto,25,Omar Marmoush,,
Egipto,26,Aktai Abdullah,,
Egipto,27,Hamza Abdelkarim,,
Inglaterra,1,Jordan Pickford,eng_01_jordan-pickford.png,eng_04_phil foden.png
Inglaterra,2,Dean Henderson,,eng_11_cole-palmer.png
Inglaterra,3,James Trafford,,eng-19-alexander arnold.png
Inglaterra,4,Reece James,eng_16_reece-james.png,eng.png
Inglaterra,5,Tino Livramento,,eng0_2.png
Inglaterra,6,John Stones,eng_15_john-stones.png,eng0.png
Inglaterra,7,Marc Guéhi,eng_17_marc guehi.png,
Inglaterra,8,Ezri Konsa,eng_18_ezri konsa.png,
Inglaterra,9,Dan Burn,eng_14_dan-burn.png,
Inglaterra,10,Jarell Quansah,,
Inglaterra,11,Nico O’Reilly,,
Inglaterra,12,Djed Spence,,
Inglaterra,13,Jordan Henderson,eng_10_jordan-henderson.png,
