seleccion,orden,jugador
Mexico,5,Jorge Sánchez
Mexico,7,Edsol Álvarez
Mexico,10,Mateo Chávez
Mexico,11,Álvaro Fidalgo
Mexico,12,Brian Gutiérrez
Mexico,14,Erik Lira
Mexico,15,Luis Romo
Mexico,16,Obed Vargas
Mexico,17,Gilberto Mora
Mexico,18,Luis Chávez
Mexico,21,Guillermo Martínez
Mexico,22,Armando González
Mexico,25,Julián Quiñones
Paises Bajos,2,Robin Roefs
Paises Bajos,3,Mark Flekken
Paises Bajos,6,Jorrel Hato
Paises Bajos,9,Jurriën Timber
Paises Bajos,13,Marten de Roon
Paises Bajos,14,Tijjani Reijnders
Paises Bajos,16,Noa Lang
Paises Bajos,17,Mats Wieffer
Paises Bajos,18,Quinten Timber
Paises Bajos,19,Crysencio Summerville
Paises Bajos,20,Guus Til
Paises Bajos,21,Brian Brobbey
Paises Bajos,25,Donyell Malen
Noruega,2,Sander Tangvik
Noruega,3,Egil Selvik
Noruega,5,David Moller Wolfe
Noruega,6,Leo Ostigard
Noruega,7,Fredrik Bjorkan
Noruega,10,Sondre Langas
Noruega,11,Henrik Falchener
Noruega,13,Morter Thorsby
Noruega,16,Martin Odegaard
Noruega,17,Fredrik Aursnes
Noruega,18,Kristian Thorstvedt
Noruega,19,Thelonious Aasgaard
Noruega,21,Andreas Schjelderup
Noruega,23,Jens Petter Hauge
Noruega,26,Jorgen Strand Larsen
Nueva Zelanda,1,Max Crocombe
Nueva Zelanda,2,Alex Paulsen
Nueva Zelanda,3,Michael Woud
Nueva Zelanda,4,Tyler Bindon
Nueva Zelanda,5,Michael Boxall
Nueva Zelanda,6,Liberato Cacace
Nueva Zelanda,7,Francis De Vries
Nueva Zelanda,8,Callan Elliot
Nueva Zelanda,9,Tim Payne
Nueva Zelanda,10,Nando Pijnaker
Nueva Zelanda,11,Tommy Smith
Nueva Zelanda,12,Finn Surman
Nueva Zelanda,13,Lachlan Bayliss
Nueva Zelanda,14,Joe Bell
Nueva Zelanda,15,Alex Rufer
Nueva Zelanda,16,Marko Stamenić
Nueva Zelanda,17,Ryan Thomas
Nueva Zelanda,18,Kosta Barbarouses
Nueva Zelanda,19,Matt Garbett
Nueva Zelanda,20,Eli Just
Nueva Zelanda,21,Callum McCowatt
Nueva Zelanda,22,Ben Old
Nueva Zelanda,23,Jesse Randall
Nueva Zelanda,24,Sarpreet Singh
Nueva Zelanda,25,Ben Waine
Nueva Zelanda,26,Chris Wood
Panama,1,Orlando Mosquera
Panama,2,Luis Mejía
Panama,3,César Samudio
Panama,4,César Blackman
Panama,5,Jorge Gutiérrez
Panama,6,Amir Murillo
Panama,7,Fidel Escobar
Panama,8,Andrés Andrade
Panama,9,Edgardo Fariña
Panama,10,José Córdoba
Panama,11,Eric Davis
Panama,12,Jiovany Ramos
Panama,13,Roderick Miller
Panama,14,Aníbal Godoy
Panama,15,Adalberto Carrasquilla
Panama,16,Carlos Harvey
Panama,17,Cristian Martínez
Panama,18,José Luis Rodríguez
Panama,19,César Yanis
Panama,20,Yoel Bárcenas
Panama,21,Alberto Quintero
Panama,22,Azarías Londoño
Panama,23,Ismael Díaz
Panama,24,Cecilio Waterman
Panama,25,José Fajardo
Panama,26,Tomás Rodríguez
Paraguay,2,Roberto Fernández
Paraguay,3,Gastón Olveira
Paraguay,5,Gustavo Velázquez
Paraguay,8,José Canale
Paraguay,10,Alessandro Maidana
Paraguay,12,Mauricio Magalhães
Paraguay,14,Braian Ojeda
Paraguay,18,Gustavo Caballero
Paraguay,21,Alex Arce
Paraguay,22,Gabriel Ávalos
Paraguay,23,Isidro Pitta
Portugal,3,Rui Silva
Portugal,4,Ricardo Velho
Portugal,6,Matheus Nunes
Portugal,7,Nélson Semedo
Portugal,10,Gonçalo Inácio
Portugal,11,Renato Veiga
Portugal,13,Tomás Araújo
Portugal,15,Samu Costa
Portugal,22,Francisco Conceição
Portugal,25,Gonçalo Guedes
Portugal,26,Gonçalo Ramos
Catar,1,Mahmoud Abunada
Catar,3,Salah Zakaria
Catar,4,Ayoub Al Alawi
Catar,6,Homam Al Amin
